caption,mental_state,language
Spontaneously booked a weekend getaway. Adventure awaits! #TravelBug #WeekendEscape ,Happy,English
रंगों सा ये जहा को गए हम कहा,Happy,Hindi
Sending affectionate vibes to all my followers!          ,Stressed,English
Hoy me siento lleno de energía y motivación.,Happy,English
Moderate Depressionld Depressionssing an important event due to unforeseen circumstances. A day filled with sadness. ,Moderately Depressed,English
"At the front row of Adele's concert, each Note of 'Someone Like You' resonates with soul-stirring emotion. ",Moderately Depressed,English
दर्द को किसी ने नहीं समझा। 😢 #दुख,Happy,Hindi
"Despite meticulous training, the swimmer faces disappointment as a split-second Moderate Depressionld Depressionscalculation costs them the lead in a crucial race. ",Happy,English
खुश रहने का एक ही तरीका है - खुद से प्यार करो। 😊 #खुद,Stressed,Hindi
खालीपन को भरना आसान नहीं। 😞 #अकेलापन,Happy,Hindi
Amused by the antics of my pet??t's pure amusement!      ,Stressed,English
Excited about the upcoModerate Depressionld Depressionng gaModerate Depressionld Depressionng tournament.      ,Happy,English
Amar a vida é um presente maravilhoso.,Happy,English
Just published a new blog post. Check it out!      ,Moderately Depressed,English
Amar a vida é um presente maravilhoso.,Happy,English
ज़िंदगी कभी आसान नहीं होती। 😕 #संघर्ष,Severely Depressed,Hindi
"Rocking out to the guitar solos at a Queen tribute concert, a journey back in time with Freddie's spirit. ",Stressed,English
"Yearning for a touch that's Not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude. ",Stressed,English
उसकी आँखों में देखा तो खुद को पा लिया।,Normal,Hindi
सुबह की सैर बहुत ताज़गी देती है।,Normal,Hindi
आइने में वो भी दिखता है जो कई बार हम खुद से भी छुपाते हैं।,Happy,Hindi
जीवन एक चुनौती है।,Stressed,Hindi
"Emotional exhaustion, the weight of the world crushing weary shoulders. ",Happy,English
"जिसे पाया नहीं, उसकी तस्वीर अब दिल में कैद है।",Moderately Depressed,Hindi
"Swept away by the river of regret, the currents of the past refusing to release. ",Stressed,English
हर तस्वीर के पीछे छुपा है एक अनसुना गीत।,Moderately Depressed,Hindi
"खामोशियों में भी अजीब सी शोर होता है, बस सुनने का हुनर चाहिए।",Happy,Hindi
"C’est la saison des fleurs, profitons-en!",Happy,English
Amar a vida é um presente maravilhoso.,Moderately Depressed,English
OptiModerate Depressionld Depressionsm for a bright future aModerate Depressionld Depressiondst challenging times.           ,Moderately Depressed,English
Hoy me siento lleno de energía y motivación.,Normal,English
Ich liebe die Natur und ihre Schönheit.,Moderately Depressed,English
"C’est la saison des fleurs, profitons-en!",Happy,English
Ich liebe die Natur und ihre Schönheit.,Happy,English
Bittersweet emotions arise while bidding farewell to a dear friend. ,Stressed,English
Ich liebe die Natur und ihre Schönheit.,Moderately Depressed,English
ଆମେ ମାନସିକ ଶାନ୍ତି ପାଇଁ ପ୍ରତିଦିନ ଅଭିନନ୍ଦନ କରୁଛୁ।,Stressed,Hindi
Ich liebe die Natur und ihre Schönheit.,Happy,English
Pride in achieving a personal Moderate Depressionld Depressionlestone.               ,Happy,English
"Rocking out to the guitar solos at a Queen tribute concert, a journey back in time with Freddie's spirit. ",Stressed,English
"तन्हाई में भी जैसे उसका हाथ थाम रखा हो, उसकी यादों की मिठास दिल की हर धड़कन में गूंजती है।",Stressed,Hindi
हर दिन नई शुरुआत करो।,Happy,Hindi
"खुद को यूँ देखना, जैसे पहली बार मिल रही हूँ।",Normal,Hindi
दूसरों से कभी तुलना मत करो।,Moderately Depressed,Hindi
Elation after a surprise reunion with old friends.    ,Stressed,English
मुस्कान छुपा लेती है दर्द। 😊 #मुस्कान,Stressed,Hindi
Compassion shown through acts of kindness in the community.,Moderately Depressed,English
Enthusiasm for a new artistic project in the works.  ,Happy,English
Hoy me siento lleno de energía y motivación.,Normal,English
नींद का कोई ठिकाना नहीं।,Happy,Hindi
हर दिन एक नई उम्मीद लाता है।,Happy,Hindi
"हर जवाब सवाल नहीं मांगता, कुछ बातें बिना कहे भी ख़ास होती हैं।",Normal,Hindi
Amar a vida é um presente maravilhoso.,Happy,English
Feeling inspired after attending a workshop.       ,Happy,English
"बदलती ज़िन्दगी के रंग, हर लम्हा जैसे एक नया कैनवास।",Moderately Depressed,Hindi
दूसरों से कभी तुलना मत करो।,Happy,Hindi
Hoy me siento lleno de energía y motivación.,Stressed,English
Amar a vida é um presente maravilhoso.,Moderately Depressed,English
कुछ बातें दिल में ही रह जाती हैं। 🤐 #अधूरे_ख्वाब,Happy,Hindi
Bonjour! Aujourd’hui est une belle journée.,Stressed,English
"In the embrace of the Grand Canyon, nature's masterpiece, a moment to marvel at Earth's grandeur. ",Stressed,English
"हर दुआ की तासीर में जैसे उसकी परछाई हो, ख्वाहिशें भी उसे पा लेने का हुनर सीख रही हैं।",Severely Depressed,Hindi
"C’est la saison des fleurs, profitons-en!",Happy,English
"Accidentally spilled paint in art class. Abstract art, right? #ArtClassAdventures #HighSchoolArtist ",Stressed,English
Amar a vida é um presente maravilhoso.,Happy,English
"Emotional exhaustion, the weight of the world crushing weary shoulders. ",Happy,English
"C’est la saison des fleurs, profitons-en!",Happy,English
"हर बार एक नया चेहरा, हर बार एक नई कहानी।",Happy,Hindi
The victory of our team brought euphoria to the city. ,Stressed,English
